Kata,POS Tag,Frekuensi
melepas,VERB,2
halhal,NOUN,2
kmu,PROPN,1
rekomen,PROPN,3
overthingking,PROPN,1
aplikasinyaaa,PROPN,2
bermacam,VERB,1
sesuaikan,NOUN,1
pengembang,NOUN,1
bagusan,PROPN,1
no,PROPN,12
meregulasi,VERB,1
lagii,NOUN,3
ketahui,ADP,1
diupdate,NOUN,3
pencarian,NOUN,2
laman,NOUN,1
artikel,NOUN,4
adakan,NOUN,2
memudahkan,VERB,3
topikartikel,NOUN,1
butuhkan,PROPN,1
thks,PROPN,1
grow,PROPN,1
halah,PROPN,2
gw,PROPN,13
bner,PROPN,3
ngedown,NOUN,1
ama,NOUN,2
agustu,NUM,1
dimajuin,NUM,1
gila,ADJ,1
woy,NOUN,2
orng,PROPN,3
bunuh,VERB,4
tandanya,NOUN,1
situ,NOUN,2
mikir,VERB,2
oliv,PROPN,1
nanya,NOUN,4
trs,NOUN,9
hemat,VERB,1
makek,NOUN,1
